cue,R1
school,building
law,legal
level,even
father,authority
level,stage
name,appellation
guy,bro
man,woman
issue,item
area,space
game,fish
guy,incognito
hand,job
room,mate
guy,doll
home,hearth
home,again
school,college
man,mensch
child,human
way,ward
end,terminal
kind,sweet
community,friends
state,Washington
end,over
case,suitcase
state,say
hand,finger
home,love
father,mother
man,strong
name,recognition
law,school
man,woman
game,basketball
name,title
home,abode
business,affairs
area,width
guy,man
man,male
way,route
man,person
hand,digits
hand,fingers
child,children
room,bedroom
state,North Carolina
name,person
world,peace
hand,job
room,temperature
community,house
hand,give
room,board
name,mine
world,dying
game,day
room,empty
game,con
name,identification
world,sphere
kind,gentle
name,mine
world,view
name,nominee
world,globe
world,round
name,title
world,war
name,
name,Colin
world,map
name,title
name,me
world,globe
name,moniker
world,la mode
name,date
world,peace
name,tag
world,view
world,earth
name,identity
world,globe
world,globe
year,progression
woman,strong
art,music
eye,pyramid
community,service
lot,yard
word,bit
community,neighborhood
head,hair
eye,sight
change,flux
parent,father
woman,female
thing,object
word,spoken
change,different
research,study
year,month
service,maid
art,museum
service,center
moment,time
head,neck
minute,time
eye,see
art,picture
number,phone
thing,crux
minute,hour
minute,teeny
power,solar
power,light
eye,iris
parent,mom
power,glory
thing,anything
eye,sight
woman,wife
parent,mother
thing,object
head,beginning
moment,time
year,time
woman,female
minute,hour
woman,man
word,games
parent,child
number,cruncher
moment,time
parent,dad
power,might
change,coins
number,amount
parent,child
number,fun
work,study
word,verb
lot,property
word,truth
friend,warm
head,honcho
friend,enemy
friend,enemy
work,play
work,play
friend,enemy
work,horse
friend,foe
friend,ally
head,body
work,labor
work,play
friend,enemy
story,line
friend,ship
work,retired
work,play
night,day
friend,lover
work,hard
friend,enemy
story,tale
work,play
head,lead
level,headed
child,son
morning,hate it
night,day
time,clock
area,maths
area,square footage
issue,important idea
child,baby
group,people
area,space
life,fulfillment
face,book
door,window
question,answer
system,mechanism
day,24 hours
morning,daybreak
system,team
month,day
door,knob
case,file
line,item
school,old
group,individual
back,front
issue,magazine
kind,sort
time,waste
group,circle
back,and forth
kind,considerate
line,straight
school,bricks
door,front
group,meeting
month,menses
back,front
student,teacher
country,map
case,study
door,open
student,learning
question,answer
month,time
country,America
day,night
line,straight
day,night
student,school
door,mat
issue,forth
city,town
issue,magazine
city,New York
question,answer
door,open
student,teacher
country,nation
question,query
student,teacher
country,nation
student,pupil
question,answer
back,ward
back,spine
back,front
back,front
back,front
face,expression
father,church
back,forth
research,study
face,head
level,flat
law,lawyer
reason,emotion
life,light
point,finger
life,awesome
state,America
water,liquid
state,country
level,even
end,the
life,long
point,shoot
law,order
research,question
reason,logic
level,degree
house,home
end,finish
state,say
research,project
point,vector
point,finger
life,death
law,judge
level,score
water,bottle
state,country
water,liquid
house,home
business,enterprise
force,extreme
research,science
force,push
girl,things
business,store
force,field
business,monopoly
girl,child
business,company
girl,boy
force,require
force,forceful
force,field
business,studies
hour,minute
girl,friend
force,Star Wars
hour,day
girl,boy
hour,one
girl,friend
hour,time
force,violence
hour,time
force,brute
business,big
hour,time
hour,hourglass
hour,time
guy,pal
hour,time
hour,time
hour,60 minutes
hour,halo
hour,time
story,narrative
place,mat
book,read
case,Sherlock Holmes
kid,child
guy,gal
kind,type
lot,much
city,urban
moment,catch the
community,people
kid,child
place,palace
school,building
morning,dew
year,annual
night,day
time,over
city,state
time,passes
year,time
city,building
company,friend
time,hour
place,home
father,mother
city,village
system,vehicle
person,
person,human
father,protector
person,corporation
school,days
school,education
father,dad
morning,day
person,entity
father,parenthood
person,man
system,computer
system,manner
company,friends
system,plan
company,troop
system,organization
father,parent
company,group
system,plan
company,manufacture
father,mother
father,mother
company,squad
company,business
father,dad
father,son
company,organization
company,thief
father,dick
father,dad
reason,excuse
face,mask
child,school
way,one
service,church
line,railway
reason,cause
line,draw
reason,deductive
number,numeric
end,butt
community,life
child,wee
game,baseball
child,pinafore
room,full
end,finish
month,moon
face,confront
end,finish
story,yarn
line,range of products
thing,item
reason,think
number,digit
area,perimeter
community,organization
kind,thoughtful
line,curve
home,comfortable
air,breathe
home,alone
thing,amobob
health,excessive
service,worship
health,card
area,space
night,mares
area,space
health,watch
area,playground
thing,inanimate
people,friendly
service,station
night,sleep
service,help
health,good
service,help
people,men
service,military
night,day
fact,hard
area,neighborhood
night,black
night,sky
fact,fiction
fact,factoid
fact,true
fact,fallacy
kind,type
kind,me
month,day
hand,finger
water,cool
house,home
moment,time
kind,generous
minute,tiny
law,rule
law,Deuteronomy
morning,evening
result,outcome
art,weird
kind,humane
issue,problem
car,car
word,word
car,vehicle
month,twelve
morning,am
month,this
kid,child
month,calender
minute,time
word,verb
woman,man
part,ways
country,nation
job,employment
change,money
book,tome
book,magazine
hand,give
morning,early
job,money
country,home
guy,male
game,play
history,nation
case,police
guy,born
game,over
way,farer
guy,gal
game,play
history,relics
part,component
history,record
case,hardened
group,collective
case,suitcase
group,people
lot,vacant
case,legal
history,background
case,study
group,cluster
way,route
way,path
way,which
point,indicate
way,path
point,number
mother,kind
way,method
moment,movement
time,clock
school,pupil
state,Washington
art,house
man,woman
eye,full
time,limit
head,chief
change,coins
eye,orb
question,ask
head,cranium
family,clutch
man,woman
research,knowledge
time,era
state,say
power,tower
result,answers
water,liquid
part,two
issue,disagreement
change,alter
water,liquid
air,atmosphere
lot,numerous
home,house
water,wet
result,end
result,outcome
state,explain
year,long
air,plane
issue,problem
story,bedtime
story,child
state,region
story,tale
kid,burgers
day,sunshine
year,age
home,house
story,tell
state,mind
state,California
story,interesting
kid,child
kid,child
level,flat
kid,goat
day,noon
level,straight
level,even
level,not bumpy
level,one
level,horizontal
level,height
place,home
job,work
minute,60  seconds
book,read
number,field
child,mother
minute,time
door,window
office,life
power,good
place,set
book,read
door,jam
minute,egg
word,number
car,vehicle
people,politics
moment,minute
parent,mom
house,home
city,town
question,answer
party,cup
country,hills
art,craft
community,village
job,joy
party,animal
hand,fingers
word,talk
mother,birth
art,beauty
country,nature
research,look for
student,learner
art,modern
body,of work
hand,to mouth
city,of lights
school,children
art,liberation
thing,it
law,legislation
student,pupil
family,tree
student,pupil
room,office
woman,lady
room,with a view
research,internet
woman,man
research,test-tube
woman,sex
family,kin
research,medical
family,minded
research,background
research,department
research,study
research,look
law,jail
guy,bro
member,only
point,direct
point,sharp
child,joy
number,3
eye,ball
line,ink
point,place
child,wild
end,wend
car,bar
moment,of silence
mother,lode
lot,of love
moment,wait
issue,publication
eye,look
idea,light
number,phone
child,son
house,roof
moment,gravity
parent,father
house,home
group,people
change,metamorphosis
year,time
moment,brief
game,on
people,persons
group,aggregate
issue,matter
people,man
office,pool
school,days
person,people
reason,season
office,wacky
school,early
reason,sound
man,woman
person,somebody
man,husband
head,brain
face,head
head,face
person,man
health,happy
life,free
health,mental
air,head
head,strong
water,falls
night,dark
power,lower
game,toy
question,answer
mother,adopted
idea,thought
time,clock
community,building
idea,light bulb
part,piece
game,bird
idea,thought
time,think
morning,day
lot,play
book,time consuming
word,dictionary
community,service
job,hell
day,night
air,supply
word,books
thing,a ww ii car
home,work
life,living
car,vehicle
guy,good
party,good time
member,associated
body,creature
thing,object
kind,pay
kind,gentle
party,part
result,rest
end,finish
end,beginning
place,snow
guy,boy
line,straight
party,enjoy
end,movie
thing,ting
kind,thoughtful
member,belong
end,finish
end,finish
end,final
party,animal
body,water
member,penis
city,town
year,book
party,popper
year,date
result,test
line,straight
body,corpus
line,streak
year,time
place,location
place,location
body,head
city,place
parent,father
result,end
body,clock
parent,child
body,soul
body,life
parent,mum and dad
parent,mom
body,mind
body,six packs
air,oxygen
mother,guilt
month,January
lot,files
door,wooden
mother,moms face
job,task
minute,second
life,saver
power,trip
night,knight
book,read
room,space
question,ask
family,mom
group,set
family,comes
morning,fresh
people,crowd
room,space
change,modify
book,read
hand,help
book,read
problem,difficulty
office,work
case,container
minute,man
book,store
health,care
health,wealth
fact,true
friend,foe
school,work
fact,fiction
issue,magazine
number,four
case,notes
area,square
history,geography
water,H2O
issue,books
area,land
home,house
case,study
house,boat
area,seven
face,visage
face,front
team,player
house,roof
country,land
part,piece
team,member
face,book
team,player
country,land
team,people
man,woman
country,Australia
team,leader
country,farm
law,suit
part,time
face,off
part,hair
part,goodbye
business,acumen
school,acumen
morning,wake up
girl,gender
eye,full
game,pheasant
number,one
door,open
guy,man
lot,of
point,view
job,done
history,past
time,about
student,learner
power,station
air,breathe
job,work
problem,hindrance
problem,
car,auto
kid,boy
person,human
problem,solution
air,breathe
child,kid
air,breath
study,lecture
water,liquid
woman,female
air,everywhere
child,aneesh
child,young person
reason,because
study,learn
work,play
life,death
people,tortoise
water,toilet
life,meaning
people,others
story,history
story,child
woman,female
month,calendar
people,crowd
reason,purpose
month,28 days
back,spine
system,processing
month,calendar
month,June
back,behind
change,clothes
reason,rationality
word,play
word,sentence
art,drawing
art,painting
war,conflict
system,order
art,painting
war,battle
way,path
word,up
art,paint
word,writing
change,coins
war,attack
word,language
war,nuclear
art,Monet
change,accept
art,beauty
word,speech
change,alter
war,belligerent
war,death
art,great
word,life
change,switch
word,
word,sentence part
line,queue
eye,nose
war,destruction
member,limbs
mother,sweet
business,model
fact,fiction
head,leader
state,nation
time,minute
fact,reality
car,travel
home,run
state,insanity
mother,father
group,team
car,door
guy,animal
lot,a
house,home
office,mate
family,relatives
person,man
door,possibility
group,gathering
day,night
man,woman
point,finger
kind,gentle
family,happy
issue,topic
friend,mate
moment,time
number,house
school,tie
morning,dawn
person,animal
morning,day beginning
room,saloon
room,closed
morning,good
room,case
idea,thought
community,together
morning,morning light
morning,good
room,living
service,maintenance
life,vitality
health,vitality
guy,man
number,quantity
member,belonging
area,breadth
house,home
issue,problem
job,employment
way,exit
job,interview
girl,woman
office,work
moment,wait
time,measure
year,annual
lot,deserve
office,work
man,woman
minute,second
time,clock
point,finger
minute,hour
student,scholar
level,field
school,learn
kind,like
level,plain
law,statute
kind,type
law,order
level,high
friend,indeed
woman,female
line,backer
head,chief
line,straight
eye,sight
eye,ball
head,shoulders
line,straight
eye,nose
head,tongue
eye,for
head,shoulders
head,brain
head,eyebrow
eye,vision
party,meeting
business,work
way,path
system,computer
power,slide
night,shade
health,wellbeing
mother,mater
kid,goat
power,corrupts
family,friends
area,space
water,drink
company,three's
number,one
health,care
result,study
school,class
car,drive
family,mother
night,sleep
moment,now
people,multitude
area,region
guy,gal
side,angle
woman,man
moment,time
power,electricity
question,ask
area,size
year,birth
door,knob
idea,light bulb
service,volunteer
point,graph
history,her-story
student,school
state,county
home,house
person,soul
parent,child
study,work
state,physical condition of something
history,what happened in the past
house,dwelling
group,collection
work,necessary
study,learn
house,building
force,field
lot,salt
parent,mum
game,plan
member,included
thing,item
house,dwelling
place,site
thing,object
man,woman
issue,problem
part,of
story,tale
person,human
person,of interest
man,of the house
man,husband
thing,cousin it
place,name
place,square
friend,buddy
life,day
game,chance
child,children
girl,lady
child,parent
child,infant
child,mother
friend,ally
life,line
girl,friend
child,birth
friend,girl
friend,companion
girl,boy
friend,mate
friend,buddy
friend,buddy
system,organization
life,eternal
friend,warm
point,tip
woman,female
face,look at
guy,man
law,lawyer
month,year
question,answer
party,yes
result,tests
system,body
day,light
community,friends
student,driver
fact,or fiction
problem,trouble
part,hair
back,front
problem,easy
student,learn
idea,creative
city,state
community,people
end,finish
office,desk
job,task
story,tale
people,person
group,cluster
business,lucrative
air,atmosphere
work,pain
people,human
number,digit
number,math
time,measure
air,oxygen
business,work
student,learning
story,tale
water,life
lot,plot
service,aid
country,paisano
car,auto
work,play
time,out
right,wrong
way,method
water,swimming pool
minute,second
door,window
water,liquid
minute,60 seconds
book,read
car,automobile
member,ship
minute,hectic
home,comfort
member,of a group
home,sweet
issue,problem
member,of
reason,excuse
reason,brain
member,join
reason,why
issue,big
home,go
book,signing
book,read
member,family
book,journal
issue,dispense
member,group
company,work
reason,cause
issue,problem
company,work
company,manager
company,business
reason,underlying cause
game,sports
research,science
family,love
point,message
case,suit
study,hall
parent,magazine
month,year
part,section
city,town
night,good
team,group
day,light
team,survey
question,mark
school,days
kid,goat
history,past
line,drawing
force,violent
year,annual
service,work
job,position
way,road
office,room
school,work
force,army
part,my
back,field
room,temperature
health,nut
kid,goat
party,drinking
line,sinker
room,place
state,of agitation
right,left
health,powder
lot,burial
room,bed
guy,fellow
moment,now
end,stop
job,employment
woman,man
law,abide
level,floor
hand,tool
guy,man
lot,parking
guy,man
idea,know
fact,information
right,opposite of left
hand,ball
idea,creative
woman,girl
fact,answer
woman,female
result,answer
idea,big
history,academic subject
history,lesson
mother,love
mother,woman
history,chronicles
mother,father
history,books
mother,mom
history,American
mother,love
mother,sliced bread
mother,mom
mother,mom
mother,father
mother,woman
mother,sacrifice
mother,wife
air,oxygen
mother,father
person,individual
mother,mummy
system,procedure
mother,mom
group,collective
mother,mama
mother,comfort
name,my
person,friend
case,study
morning,cereal
thing,some
family,love
party,fun
face,time
night,dark
state,condition
day,diurnal
father,mother
time,illusion
day,bright
man,male
point,tip
area,region
moment,instance
area,vicinity
man,gender
father,dad
father,dad
office,space
office,workplace
moment,now
study,fun
year,old
story,contest
city,Kingston
parent,mom
office,secretary
research,investigate
story,tale
question,answer
country,Spain
way,no way
service,help
kind,winder
service,tray
area,field
car,automobile
way,path
city,town
parent,sibling
city,town
kind,generous
research,paper
area,space
month,January
change,inevitable
number,lots
change,change of address
way,out
house,congress
car,auto
area,rug
study,guide
story,tale
country,place
story,history
place,name
kind,person
change,up
office,work
research,study
car,jalopy
service,public
kind,gentle
research,school
number,figure
car,auto
place,location
door,shut
door,stop
car,travel
community,responsibility
kind,gentle
month,day
research,job
house,home
car,traffic
car,horse
door,kind
month,November
house,shelter
car,comfort
house,home
door,bell
community,society
house,doctor
community,city
number,quantity
house,what's his name on tv/doctor
community,group
community,neighborhood
work,job
door,wooden
house,home
community,people
work,money
door,opening
night,day
community,town
work,hard
point,aim
side,lateral
work,travail
night,evening
work,play
work,office
lot,wife
family,ties
student,visa
force,use the
thing,object
life,alive
state,current condition
group,categorize
year,new
people,persons
line,queue
world,global
game,play
job,work
life,vitality
party,political
air,wind
life,joy
back,button
morning,good
game,play
water,lake
game,play
world,large
job,work
health,reasons
back,reverse
result,test
back,front
eye,glass
part,two
morning,noon
part,separate
name,me
end,completion
part,divide
eye,see
job,work
case,instance
job,work
end,finish
part,hair
end,finish
eye,finger
game,cheat
eye,glasses
game,play
world,planet
law,rule
job,calling
law,encounter
end,finish
hour,time
school,study
job,related
hour,glass
hour,minute
job,task
hour,time
law,love
hour,minute
job,work
law,order
end,times
school,elementary
law,regulation
law,school
hour,time
job,occupation
case,study
hour,hand
school,days
school,academy
school,learn
school,homework
case,bank
school,learning
case,box
school,children
school,education
hour,time
hour,minute
case,worker
job,offer
job,Steve
school,study
case,study
job,work
job,to do
job,work
country,peaceful
job,work
air,breathe
fact,closed
home,family
fact,figure
minute,60 seconds
child,small
woman,adult
level,plumb
power,force
question,why
lot,a
child,boy
party,animal
people,many
level,even
power,man
point,indicate
money,dollars
year,sun
lot,plenty
man,woman
air,oxygen
health,fitness
guy,he
child,little
money,rich
state,Maryland
year,365 days
face,off
guy,man
right,wrong
lot,group
system,scheme
year,annum
people,humans
company,guest
side,neighbor
person,people
body,book
head,leader
year,calendar
minute,quick
side,back
money,cash
name,moniker
study,pencil
state,mention
minute,summary
body,organization
study,learn
family,tree
question,ask
place,where
home,hearth
business,sense
right,left
woman,curvy
head,top
day,morning
girl,boy
question,answer
business,copy
force,strength
water,fluid
place,spot
business,enterprise
body,physical
issue,volume
idea,thought
kid,child
day,long
kid,energy
name,daughter
team,together
person,crowd
room,space
issue,problem
head,pate
man,gender
head,use
force,physical
team,join together
man,self
girl,woman
woman,shapely
student,learner
group,association
name,sobriquet
problem,situation
kid,kids
body,corpus
student,learning
line,straight
body,of work
kid,games
line,write
girl,boy
line,straight
man,woman
force,army
room,mate
girl,pink
man,woman
name,mine
girl,lady
name,one
team,unit
girl,female
student,university
kid,tease
problem,solution
line,stand
force,nature
line,item
team,sport
line,up
problem,solved
room,
team,group
student,learner
group,women
student,learner
problem,obstacle
health,vital
problem,issue
group,association
group,study
problem,difficulty
health,happiness
health,strength
problem,solution
group,many
health,weight
problem,fix
group,clique
group,together
health,sickness
problem,fix
team,group
group,team
problem,solution
problem,solve
group,bunch
problem,solution
group,time
group,association
problem,solving
water,drink
group,family
night,dark
month,day
father,engender
hand,foot
way,lost
art,abstract
art,hurtle
week,toil
month,30 days
art,palette
point,reason
time,clock
point,see
week,covering
point,shoot
way,method
way,path
way,route
way,path
company,firm
father,mother
father,mother
time,rush
change,modify
company,firm
thing,
service,center
country,United States
moment,time
moment,quick
change,good
service,revolver
thing,item
thing,object
thing,monster
moment,time
parent,child
service,military
service,war
thing,such
moment,second
parent,father
service,help
change,coins
thing,noun
parent,mother
parent,me
parent,father
parent,me
parent,mother
parent,mother
parent,child
parent,mother
night,dark
parent,child
parent,carer
parent,love
face,personality
parent,mom
country,lane
parent,mother
world,globe
air,ergo
office,study
person,human
morning,dawn
word,therefore
story,tale
book,page
hand,helping
office,bureau
power,corrupts
office,furniture
time,clock
guy,man
word,game
morning,after
side,on my side
war,bad
guy,"person, usually male"
guy,man
side,flank
story,tale
word,want
morning,wake
word,language
morning,night
office,authority
office,work
morning,early day
hand,need
side,right
person,friend
word,good
water,H2O
side,support me
war,conflict
war,battle
family,friend
city,big
day,night
guy,gal
home,shelter
family,mother
party,gathering
day,light
war,killing
guy,man
study,hall
war,horse
home,house
party,fun
family,close
study,hard
party,piece
party,time
time,place
study,peruse
back,retreat
time,watch
time,now
study,attention
back,front
back,body area
home,place
time,measure
home,house
home,cozy
party,fun
back,front
party,holiday
home,house
home,house
party,popper
back,front
back,front
home,place
back,forth
part,party
kind,thoughtful
state,elocute
home,hearth
back,forth
home,house
back,forward
business,money
child,abuse
lot,whole
back,fall
woman,feminine
month,time
world,globe
air,breathe
business,suit
result,test
month,day
back,forward
month,year
room,space
business,controlling
system,work
country,USA
place,home
idea,mind
face,music
woman,man
country,home
face,visage
area,perimeter
life,
people,lots
reason,knowledge
place,city
history,wars
people,humans
life,spring
country,place
place,London
room,door
fact,based
fact,fiction
history,fiction
idea,hunch
fact,fiction
number,letter
fact,news
day,night
level,high
reason,mind
eye,ball
day,night
people,persons
people,crowd
minute,small
level,together
number,how many
minute,sec
week,day
eye,pupil
night,moon
minute,clock
level,energy
eye,optical
day,morning
eye,chart
number,count
minute,good
week,time
night,dark
night,day
number,digit
night,day
number,5
world,earth
issue,give
history,events
result,good
question,problem
game,play
point,out
question,always
game,hunter
year,long
result,end
company,two
child,memory
point,pencil
air,breathe
year,birthday
book,read
hand,help
book,hardcover
air,space
company,friends
book,read
art,museum
friend,confidant
end,zone
state,division of the US
issue,children
air,wind
week,long
state,united
child,welfare
world,war
story,board
game,board
story,tale
hand,grab
water,thirsty
end,last
part,small
air,bubble
power,prestige
world,view
hand,over
book,study
person,human
end,stop
father,sire
end,stop
end,final
part,way
water,drink
research,truth
person,people
person,human
lot,size
power,leader
father,dad
lot,bunch
father,dad
power,electricity
father,mother
lot,field
research,study
lot,salt
father,mother
lot,group
father,dad
research,find
lot,acre
research,assess
father,mother
law,Jude
right,left
room,roommate
money,cash
room,house
moment,second
woman,beauty
face,plant
head,lead
change,alter
area,total
system,systematic
moment,time
system,
law,lawyer
city,urban
change,future
right,wrong
face,about
change,alternate
area,space
friend,buddy
member,belong
city,state
woman,female
law,order
right,correct
money,dollars
art,drawing
art,pleasure
art,picture
law,rule
art,life
system,gambler
life,breathing
head,face
right,correct
art,painting
friend,girl
kind,type
friend,pal
force,coerce
friend,confide
city,town
life,adventure
kind,good
city,Ottawa
force,push
kind,nice
student,fun
side,next
service,vocation
kid,joke
state,
issue,problem
business,job
reason,thoughtful
case,study
question,answer
student,learn
team,member
service,forces
question,what
body,whole thing
year,best
history,war
child,baby
kid,play
water,wet
part,do
water,Agua
body,parts
question,response
point,sharp
idea,brainstorm
part,piece
reason,logic
state,country
water,pitcher
issue,problem
way,road
girl,young
water,cool
child,fun
man,woman
side,beside
history,world
way,verge
issue,problem
way,forward
side,out
issue,problem
state,nation
man,woman
side,team
business,grandfather
state,nation
company,entity
team,player
business,enterprise
year,time
team,people
company,business
girl,female
result,tick
company,friends
point,finger
state,main
year,generation
man,husband
result,outcome
result,end
state,territory
year,365
company,talk
member,representative
year,time
state,location
member,group
member,church
year,calender
member,organization
result,end
result,answer
company,work
member,group
year,millennium
team,will
year,date
member,join
result,end
member,person
member,join
team,sport
team,player
member,penis
team,player
member,team
team,players
area,acre
member,of a group
member,participant
member,group
office,work
room,mess
door,knob
story,imaginative
person,hood
money,cash
name,tag
thing,item
office,furniture
community,activity
word,meaning
force,will
hand,help
case,valise
game,play
level,equal
game,last
office,boy
woman,man
idea,plan
money,savings
game,play
office,work
idea,thought
people,love
health,good
week,seven days
people,population
student,learner
war,death
week,day
family,friends
community,family
force,Star Wars
office,work
hand,manipulate
game,play
house,refuge
room,green
idea,concept
case,holder
day,night
house,home
fact,truth
door,frame
week,weekend
door,window
week,month
week,period
day,shine
person,people
place,here
word,language
week,day
health,happiness
day,today
day,night
game,got
student,teacher
idea,new
week,seven days
week,workweek
house,comfort
place,put
face,emotion
line,draw
fact,logic
face,beard
house,brick
person,female
fact,truth
health,good
money,livelihood
fact,a given
house,dwelling
line,straight
house,home
thing,item
level,carpenter's
face,visage
health,wellbeing
level,height reached
house,home
line,waiting
face,book
person,place
fact,fiction
place,home
thing,past
people,smile
level,high
face,opposite
line,item
place,set
house,home
level,playing field
line,dance
level,hierarchy
level,par
line,straight
face,the
line,phone
face,body
level,stage
level,flat
story,board
family,mum
face,"eyes, nose, etc."
part,thing
change,money
woman,great
work,money
woman,man
air,sky
minute,second
book,read
head,brain
change,diapers
car,auto
book,read
head,body
hour,precious
guy,bud
month,December
change,diaper
car,drive
body,somatic
minute,hour
moment,now
guy,man
morning,sunshine
story,tale
service,hotel
guy,gal
point,circle
point,finger
minute,time
name,rose
guy,bloke
morning,breaking
kid,love
child,my
car,auto
point,blank
change,weather
car,automobile
family,dad
child,young
power,house
name,date
body,mind
time,25
point,pen
kid,child
power,might
body,flesh
power,strength
time,space
car,drive
kid,tot
power,strength
night,evening
system,way
service,charge
time,bottle
time,era
morning,after
guy,gal
night,day
morning,good
child,children
time,flies
system,computer
morning,dew
night,evening
study,hard
world,small
hour,glass
world,map
night,day
study,homework
night,day
world,globe
hour,minute
night,evening
morning,after
night,time
world,globe
world,map
study,book
world,globe
night,night light
world,war
night,light
study,group
hour,minute
hour,glass
study,school
world,peace
night,time
study,learn
hour,time
world,huge
world,huge
study,read
hour,time
study,books
hour,60 minutes
world,vast
war,peace
world,earth
study,learn
study,room
world,ocean
part,hair
world,peace
study,microscope
end,start
world,warming
study,book
study,pore over
world,globe
eye,look at
world,wide
study,hard
study,exams
community,society
area,research
community,people
business,study
study,science
man,woman
question,answer
kind,nice
study,read
study,books
head,leader
air,breathe
study,educate
month,day
head,mind
study,college
history,fascinating
air,breathe
end,final
kind,nice
force,push
friend,acquaintance
man,human
question,answer
war,death
hand,body part
part,whole
school,bus
business,plan
book,read
head,hair
friend,enemy
month,day
case,box
business,work
head,authority
history,back
force,arms
right,correct
law,statute
area,space
school,building
word,speak
school,test
number,one
life,work
right,wrong
hand,stand
case,box
room,space
law,obey
air,breathe
way,path
word,sentence
room,bed
air,supply
word,play
friend,ship
girl,boy
room,living
way,route
country,exurb
law,legislation
room,house
girl,boy
room,space
country,cousin
word,swear
girl,boy
law,order
way,Tao
country,county
law,the long arm of the law
way,route
room,living
girl,boy
room,rent
country,America
reason,why
way,fare
reason,season
country,nation
way,path
reason,why
way,to
reason,logic
country,music
reason,brain
country,city
reason,rhyme
number,count
moment,time
number,nine
issue,magazine
case,file
student,school
door,entrance
eye,window
number,five
city,town
life,being
system,way
work,toil
people,folk
issue,tissue
family,work
life,song
art,creativity
system,ordered
city,London
life,long
party,popper
party,hearty
city,downtown
life,death
life,death
art,craft
life,love
family,children
system,organization
family,friends
family,adverb
art,frame
family,tight
service,customer
family,tablecloth
service,shopping cart
service,smile
family,mother
eye,ball
service,work
service,station
family,pain
art,painting
eye,see
service,perform
eye,eyeball
family,children
eye,ball
family,friends
service,member
family,values
family,sisters
family,circle
family,relatives
eye,sight
eye,tooth
eye,elephant
story,book
force,troupes
work,job
research,academia
work,job
company,store
question,ask
work,money
kind,heart
question,authority
woman,man
force,air
end,beginning
day,break
moment,publicist
question,ponder
moment,time
work,awful
day,24 hours
hand,foot
minute,time
day,night
student,location
idea,thought
history,French revolution
part,hairline
company,of others
hand,fingers
company,group
war,horror
community,group
kid,play
hand,finger
force,brute
force,take
company,guests
door,window
kind,type
community,spirit
idea,thought
door,close
war,battle
day,sun
right,wrong
book,read
area,length x width
name,me
money,moolah
water,blue
money,dollars
right,correct
history,past
water,liquid
money,green
book,read
right,left
idea,thought
body,mind
name,specific
right,OK
area,space
body,woman
community,church
area,space
name,moniker
idea,brainwave
money,currency
area,district
name,first
minute,time
area,space
money,cash
area,large
idea,dream
money,filthy
man,woman
area,place
body,corpus
water,liquid
man,woman
man,
body,language
body,shape
minute,man
minute,second
man,woman
man,woman
man,woman
minute,to win it
man,person
minute,tiny
friend,lover
issue,problem
story,fairytale
school,blue
change,pocket
story,glory
game,play
woman,lady
month,year
school,yard
change,different
kid,goat
office,work
game,football
person,place
place,here
person,people
friend,foe
story,book
child,kid
point,finger
game,day
child,young
party,fun
point,click
lot,feed
lot,yard
party,fun
business,deal
case,study
point,pin
people,class
business,company
case,file
power,strong
result,consequence
business,lot to do
people,crowds
case,study
business,man
people,persons
party,shindig
lot,auction
power,electricity
result,outcome
power,energy
lot,acre
people,humans
thing,object
business,world
case,upper
thing,something
people,social
business,money
thing,substance
people,crowded
case,law
lot,of salt
party,foul
power,powerful
business,work
case,box
case,study
power,train
party,hat
thing,Dr Seuss
people,places
power,electricity
people,crowds
power,might
people,friendly
power,strength
people,person
thing,noun
power,outage
people,family
thing,sewing machine
power,president
thing,wild thing
people,crowd
power,rangers
thing,last
people,nation
word,paragraph
place,home
thing,own
power,hungry
research,study
power,corrupt
office,my
woman,legal
power,men
power,full
research,investigate
place,keeper
research,look up
kind,compassionate
part,section
moment,period
part,role
research,study
month,December
guy,slang
car,automobile
kind,friendly
part,and parcel
car,ride
guy,slang
number,tally
office,cubicle
guy,paper
moment,now
book,read
system,operations
guy,doll
part,car
moment,minute
month,year
part,of
part,car
month,week
side,fries
number,various numbers
book,read
number,too many
side,story
moment,time
number,counting
side,ways
side,by
number,data
book,read
book,report
book,save
book,title
book,binding
community,people
air,smoke
student,work
law,rules
fact,fiction
history,event
city,large
hand,foot
head,of state
air,breath
end,over
year,Friday
problem,strength
end,finally
fact,item of truth
issue,discussion
child,tot
health,good
word,John
city,street
air,full
friend,enemy
end,beginning
city,place
question,period
person,human
father,mother
health,wellness
friend,friendly
art,picture
water,dilute
child,tot
girl,female
problem,poser
morning,sunlight
state,full
problem,solve
woman,female
kid,child
girl,friend
state,n.h.
woman,pretty
girl,sex
girl,female
water,company
water,drink
water,fall
water,bottle
head,round
name,handle
point,meaning
car,park
day,night
work,earn
law,rule
hand,finger
week,month
issue,resolve
force,of arms
issue,give
word,write
work,week
time,clock
issue,newspaper
change,guard
name,sake
story,funny
community,building
home,school
word,
work,employment
week,work
question,ask
school,reading
company,guests
question,ask
group,church
community,sharing
school,hell
war,soldier
work,ethic
kind,gentle
office,work
system,theory
word,sentence
system,network
war,game
morning,sunrise
system,arrangement
law,order
kid,goat
company,corporation
door,open
week,seven days
person,individual
person,individual
hand,out
father,mother
school,elementary
art,crafts
morning,evening
company,corporation
system,process
year,age
office,work
war,song
hand,right
